category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
22,748374.0,57527.0,2966,15954.0,0,0,0
24,2418783.0,97185.0,6146,12703.0,0,0,0
23,681944.0,146033.0,5339,8181.0,0,0,0
24,343168.0,10172.0,666,2146.0,0,0,0
24,2095731.0,132235.0,1989,17518.0,0,0,0
28,119180.0,9763.0,511,1434.0,0,0,0
24,2103417.0,15993.0,2445,1970.0,0,0,0
28,817732.0,23663.0,778,3432.0,0,0,0
1,826059.0,3543.0,119,1855.0,0,0,0
25,681944.0,18091.0,1363,2368.0,0,0,0
17,81377.0,655.0,25,177.0,0,0,0
24,104578.0,1576.0,303,1279.0,0,0,0
10,687582.0,114188.0,1333,8371.0,0,0,0
25,544770.0,7848.0,1171,3981.0,0,0,0
15,207532.0,7473.0,246,2120.0,0,0,0
28,75752.0,9419.0,52,1230.0,0,0,0
23,295639.0,8011.0,638,1256.0,0,0,0
27,78044.0,5398.0,53,385.0,0,0,0
28,97007.0,11963.0,36,2211.0,0,0,0
27,223871.0,8421.0,191,1214.0,0,0,0
27,115791.0,9586.0,75,2800.0,0,0,0
28,224019.0,3585.0,138,208.0,0,0,0
27,144418.0,11758.0,89,1014.0,0,0,0
26,145921.0,1707.0,578,673.0,0,0,0
23,33980.0,4884.0,52,234.0,0,0,0
24,223077.0,8676.0,193,1392.0,0,0,0
28,80705.0,4687.0,41,437.0,0,0,0
26,120727.0,9033.0,224,1346.0,0,0,0
25,27943.0,156.0,36,83.0,0,0,0
1,50867.0,715.0,238,246.0,0,0,0
2,98378.0,4035.0,495,486.0,0,0,0
24,26000.0,119.0,69,0.0,1,0,0
10,17158531.0,787419.0,43420,125882.0,0,0,0
24,67661.0,3781.0,84,626.0,0,0,0
19,141148.0,1661.0,70,236.0,0,0,0
22,98966.0,2486.0,184,532.0,0,0,0
1,288922.0,7515.0,792,2111.0,0,0,0
10,13917.0,1318.0,24,1855.0,0,0,0
23,605932.0,38397.0,1387,3412.0,0,0,0
10,57169.0,6927.0,161,565.0,0,0,0
10,60506.0,5389.0,106,455.0,0,0,0
25,34785.0,308.0,26,413.0,0,0,0
17,945.0,7.0,5,8.0,0,0,0
10,681944.0,15186.0,15448,7484.0,0,0,0
22,321053.0,4451.0,1772,895.0,0,0,0
26,1456472.0,18091.0,1660,2160.0,0,0,0
24,69844.0,3417.0,33,160.0,0,0,0
17,956169.0,2017.0,2425,1447.0,0,0,0
17,4569.0,35.0,18,19.0,0,0,0
24,2045386.0,45406.0,2842,8309.0,0,0,0
24,1842393.0,99086.0,1339,11800.0,0,0,0
25,6473.0,205.0,6,15.0,0,0,0
17,1044813.0,15397.0,838,1100.0,0,0,0
10,9548677.0,190083.0,15015,11473.0,0,0,0
22,197062.0,7250.0,217,456.0,0,0,0
24,1496225.0,16116.0,236,605.0,0,0,0
17,162597.0,5734.0,106,525.0,0,0,0
25,9132.0,21.0,8,64.0,0,0,0
2,7265.0,89.0,8,22.0,0,0,0
24,291597.0,8209.0,344,1062.0,0,0,0
28,290801.0,10237.0,377,1016.0,0,0,0
25,5304.0,52.0,13,68.0,0,0,0
24,812516.0,26917.0,1979,4998.0,0,0,0
10,2642930.0,115795.0,3055,6410.0,0,0,0
25,105058.0,493.0,54,347.0,0,0,0
24,537715.0,8231.0,413,970.0,0,0,0
22,2744430.0,115426.0,1110,6541.0,0,0,0
23,3358068.0,120876.0,8279,6408.0,0,0,0
24,4732.0,203.0,6,33.0,0,0,0
26,7224515.0,55681.0,10247,9479.0,0,0,0
10,33523622.0,1634124.0,21082,85067.0,0,0,0
1,52591.0,2233.0,187,255.0,0,0,0
24,75822.0,2978.0,147,243.0,0,0,0
24,43715.0,1550.0,109,1031.0,0,0,0
10,303956.0,18603.0,585,1745.0,0,0,0
24,238643.0,2429.0,5381,1855.0,0,0,0
28,237307.0,1896.0,74,260.0,0,0,0
10,1282413.0,37669.0,1732,1691.0,0,0,0
24,1497519.0,15504.0,353,1084.0,0,0,0
23,148226.0,355.0,47,178.0,0,0,0
26,484185.0,23296.0,1184,1858.0,0,0,0
26,300617.0,8133.0,2693,2911.0,0,0,0
26,92523.0,2323.0,40,134.0,0,0,0
25,7524.0,67.0,19,56.0,0,0,0
26,103927.0,3571.0,278,399.0,0,0,0
22,177707.0,6271.0,88,275.0,0,0,0
1,1751064.0,16430.0,945,1231.0,0,0,0
10,46746.0,439.0,66,55.0,0,0,0
10,746092.0,34839.0,537,2541.0,0,0,0
24,836830.0,82320.0,1279,7998.0,0,0,0
27,67429.0,438.0,23,23.0,0,0,0
24,2237404.0,72593.0,1830,3501.0,0,0,0
15,45455.0,2282.0,35,17.0,0,0,0
26,2063667.0,98804.0,11682,11443.0,0,0,0
1,2736733.0,58967.0,3492,7915.0,0,0,0
10,165698.0,8599.0,361,930.0,0,0,0
10,836544.0,40195.0,373,976.0,0,0,0
